pygame 2.0.0 (SDL 2.0.12, python 3.9.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
         481881 function calls (477542 primitive calls) in 42.057 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 pyparsing.py:2026(__call__)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
        1    0.000    0.000    0.000    0.000 redvsblue.py:9(__init__)
       38    0.000    0.000    0.000    0.000 pyparsing.py:4230(__init__)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
        2    0.000    0.000    0.000    0.000 sysconfig.py:98(_safe_realpath)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:366(_macos_vers)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 platform.py:431(mac_ver)
        1    0.000    0.000    0.000    0.000 platform.py:409(_mac_ver_xml)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      351    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3009(DistInfoDistribution)
        6    0.000    0.000    0.000    0.000 __init__.py:1597(_setup_prefix)
        1    0.000    0.000    0.000    0.000 subprocess.py:1203(_close_pipe_fds)
        8    0.000    0.000    0.000    0.000 enum.py:178(<setcomp>)
     1764    0.000    0.000    0.000    0.000 version.py:333(_parse_letter_version)
      188    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
     1001    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
