pygame 2.0.0 (SDL 2.0.12, python 3.9.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
         4126509 function calls (4122176 primitive calls) in 31.177 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    23/10    0.000    0.000    0.001    0.000 pyparsing.py:3547(parseImpl)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1486(_fill_cache)
      560    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
      272    0.000    0.000    0.001    0.000 posixpath.py:140(basename)
    24/10    0.000    0.000    0.001    0.000 pyparsing.py:3737(parseImpl)
       76    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:4(<module>)
        7    0.000    0.000    0.001    0.000 __init__.py:2346(normalize_path)
     1336    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
     2240    0.001    0.000    0.001    0.000 version.py:226(<genexpr>)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.001    0.001 _osx_support.py:379(customize_config_vars)
     1798    0.000    0.000    0.001    0.000 sre_parse.py:160(__len__)
      4/3    0.000    0.000    0.001    0.000 pyparsing.py:3859(parseImpl)
      120    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
     1791    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      443    0.000    0.000    0.001    0.000 __init__.py:2821(__getattr__)
     2749    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
      272    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      246    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
      107    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
      358    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
       22    0.000    0.000    0.001    0.000 abc.py:84(__new__)
      6/2    0.000    0.000    0.001    0.000 pyparsing.py:4183(streamline)
       48    0.000    0.000    0.001    0.000 pyparsing.py:1948(__or__)
        1    0.000    0.000    0.001    0.001 __init__.py:2425(EntryPoint)
        2    0.000    0.000    0.001    0.000 re.py:198(search)
        1    0.000    0.000    0.001    0.001 charset.py:5(<module>)
     1126    0.000    0.000    0.001    0.000 sre_parse.py:286(tell)
      246    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
     3207    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pyparsing.py:3213(WordStart)
      319    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       98    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 sysconfig.py:416(_init_posix)
       82    0.000    0.000    0.000    0.000 pyparsing.py:3719(__init__)
     1558    0.000    0.000    0.000    0.000 version.py:44(<lambda>)
       57    0.000    0.000    0.000    0.000 posixpath.py:164(islink)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
       48    0.000    0.000    0.000    0.000 pyparsing.py:3540(__init__)
      303    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 _osx_support.py:128(_supports_universal_builds)
     1869    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.000    0.000 _osx_support.py:83(_get_system_version)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      135    0.000    0.000    0.000    0.000 __init__.py:2905(<listcomp>)
    77/62    0.000    0.000    0.000    0.000 pyparsing.py:3434(__str__)
      560    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       57    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
     3138    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      173    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
    87/79    0.000    0.000    0.000    0.000 pyparsing.py:3576(__str__)
      526    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
      148    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1204(setResultsName)
       74    0.000    0.000    0.000    0.000 enum.py:852(__and__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
     1660    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1259(_path_hooks)
      217    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
     1152    0.000    0.000    0.000    0.000 version.py:256(<genexpr>)
     1226    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 base64mime.py:5(<module>)
       89    0.000    0.000    0.000    0.000 enum.py:65(__setitem__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      120    0.000    0.000    0.000    0.000 pyparsing.py:2368(__init__)
      586    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       26    0.000    0.000    0.000    0.000 linecache.py:52(checkcache)
      880    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:331(get_makefile_filename)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
       69    0.000    0.000    0.000    0.000 pyparsing.py:2412(__init__)
      192    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
        1    0.000    0.000    0.000    0.000 sysconfig.py:506(get_path)
        1    0.000    0.000    0.000    0.000 sysconfig.py:494(get_paths)
        1    0.000    0.000    0.000    0.000 sysconfig.py:166(_expand_vars)
      499    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2863(__init__)
       41    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4681(originalTextFor)
     1558    0.000    0.000    0.000    0.000 version.py:50(<lambda>)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
      135    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       72    0.000    0.000    0.000    0.000 __init__.py:2396(yield_lines)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
     1138    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       38    0.000    0.000    0.000    0.000 pyparsing.py:4230(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:366(_macos_vers)
       14    0.000    0.000    0.000    0.000 pyparsing.py:2026(__call__)
        1    0.000    0.000    0.000    0.000 platform.py:431(mac_ver)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 platform.py:409(_mac_ver_xml)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:483(_find_module_shim)
        2    0.000    0.000    0.000    0.000 sysconfig.py:98(_safe_realpath)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(find_loader)
        1    0.000    0.000    0.000    0.000 __init__.py:3009(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:178(<setcomp>)
     1001    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1527(path_hook_for_FileFinder)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      334    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      188    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
     1680    0.000    0.000    0.000    0.000 version.py:333(_parse_letter_version)
       55    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      471    0.000    0.000    0.000    0.000 copyreg.py:90(__newobj__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3353(setResultsName)
      170    0.000    0.000    0.000    0.000 pyparsing.py:3439(<genexpr>)
      353    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      407    0.000    0.000    0.000    0.000 pyparsing.py:3581(<genexpr>)
      390    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      228    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
    96/73    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      421    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
        1    0.000    0.000    0.000    0.000 _osx_support.py:277(_check_for_unavailable_sdk)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:533(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 pkgdata.py:46(getResource)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
     1814    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        3    0.000    0.000    0.000    0.000 pyparsing.py:1877(__mul__)
       20    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1114(exec_module)
       41    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       52    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
      945    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 plistlib.py:835(load)
       28    0.000    0.000    0.000    0.000 posixpath.py:334(normpath)
      421    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
